Cod Art,Cod Unico Art,Desc Art,Desc Marca Art,Desc Familia Art,Cod Barra Art
81251,R-00073005-G,ASP RO1755X1 1800W -C,ROWENTA,ASPIRADORAS,
81249,R-00073004-G,ASP RO1733X1 1800W -C,ROWENTA,ASPIRADORAS,
81246,R-00073124-G,CAF EXP HD8325/42 MOD,SAECO,CAFETERAS (EXPRESS),8710103560166
81228,R-00045500-C,55% DESC CART HP122 BLACK,HP,CARTUCHOS,
81227,R-00045500-C,50% DESC CART HP122 BLACK,HP,CARTUCHOS,
81224,R-00080113-G,AFE SMARTSHAVER PQ222 -C,PHILIPS,AFEITADORAS,
81221,R-00081221-G,LG C195 Q3N BLANCO LIBRE,LG,CELULARES LIBRES,7798083387967;
81220,R-00081220-G,NOKIA LUMIA 620 BCO LIBRE,NOKIA,CELULARES LIBRES,6438158560925;
81218,R-00080955-G,AFE SERIES 5030S -C,BRAUN,AFEITADORAS,
81201,R-00042788-G,CAF ELEC CMPRO 1.25L -C,ELECTROLUX,CAFETERAS (ELECTRIC),
81188,R-00081188-G,BAT-MAN BM8733E MOD,ATMA,BATIDORAS (MANUAL),7796962807339;
81179,R-00081179-G,BAL-BANO BA845E MOD,ATMA,BALANZAS (P/BAÑO),7796962818458;
81175,R-00081175-G,ASP-CR835 1800W RJ MOD,RENACER,ASPIRADORAS,7798157650218;
81174,R-00081174-G,ASP-CR835 1800W AZ MOD,RENACER,ASPIRADORAS,7798157650140;
81173,R-00046314-C,SAMS B5330 ROS LIB TDF,SAMSUNG,CELULARES LIBRES,8806085336674
81172,R-00081172-G,MOD C.DIG DMC-SZ9PR-K,PANASONIC,CAMARAS DIGITALES,885170133341
81164,R-00080164-G,LG A271 NEGRO LIB PROMOCI,LG,CELULARES LIBRES,
81157,R-00081157-G,C.DIG EPM-1 BLACK,OLYMPUS,CAMARAS DIGITALES,4545350037802;
81157,R-00081157-G,MOD C.DIG EPM-1 BLACK,OLYMPUS,CAMARAS DIGITALES,4545350037802;
81145,R-00081145-G,ANAFE   AVST60K,LONGVIE,ANAFE,7797075014072;
81128,R-00081128-G,NOKIA LUMIA 620 NEG LIBRE,NOKIA,CELULARES LIBRES,6438158560840
81125,R-00081125-G,CAF-EXP INTEL HD8753/83 M,SAECO,CAFETERAS (EXPRESS),8710103575191;
81124,R-00081124-G,CAF EXP INTELIA HD8752/83,SAECO,CAFETERAS (EXPRESS),
81102,R-00042125-C,AUR.SOHO BLACK EUHP-070,EUROCASE,AURICULARES,
81101,R-00081101-G,AUR. VALENCIA EUHP-080,EUROCASE,AURICULARES,7798135463571;
81094,R-00081094-G,AUTOESTER MEX-BT3150UMOD,SONY,AUTOSTEREO (C/RADIO),4905524884401;
81092,R-00037798-C,LG T300 NEGRO LIBRE,LG,CELULARES LIBRES,
81087,R-00081087-G,AUR.MDR-ZX100/LCU AZUL,SONY,AURICULARES,027242866553;
81086,R-00081086-G,AUR.MDR-ZX100/RCU ROJOS,SONY,AURICULARES,027242866546;
81085,R-00081085-G,AUR.MDR-XB400/PQU ROSA,SONY,AURICULARES,027242854420;
81084,R-00081084-G,AUR.MDR-XB400/LQU  CELEST,SONY,AURICULARES,027242854390;
81083,R-00081083-G,AUR.MDR-EX37B/BCU NEGRO,SONY,AURICULARES,027242840096;
81082,R-00081082-G,AUR.MDREX10LP/WCU BLANCO,SONY,AURICULARES,027242815216;
